x        Q2      f(x,Q2) 
0.004000 30.000000 1.604400 
0.005000 30.000000 1.387934 
0.006000 30.000000 1.225381 
0.007000 30.000000 1.097491 
0.008000 30.000000 0.993481 
0.009000 30.000000 0.906766 
0.010000 30.000000 0.833063 
0.020000 30.000000 0.431960 
0.030000 30.000000 0.257927 
0.040000 30.000000 0.158616 
0.050000 30.000000 0.094537 
0.060000 30.000000 0.050244 
0.070000 30.000000 0.018294 
0.080000 30.000000 -0.005396 
0.090000 30.000000 -0.023277 
0.100000 30.000000 -0.036915 
0.200000 30.000000 -0.074414 
0.300000 30.000000 -0.060531 
0.400000 30.000000 -0.040704 
0.500000 30.000000 -0.023576 
0.600000 30.000000 -0.011029 
0.700000 30.000000 -0.003134 
0.800000 30.000000 0.000574 
0.900000 30.000000 0.000698 
0.999900 30.000000 -0.002155 
0.000010 40.000000 22.377369 
0.000020 40.000000 17.538173 
0.000030 40.000000 15.145177 
0.000040 40.000000 13.619132 
0.000050 40.000000 12.525519 
0.000060 40.000000 11.686704 
0.000070 40.000000 11.013930 
0.000080 40.000000 10.456967 
0.000090 40.000000 9.984844 
0.000100 40.000000 9.577229 
0.000200 40.000000 7.213858 
0.000300 40.000000 6.060388 
0.000400 40.000000 5.331901 
0.000500 40.000000 4.813988 
0.000600 40.000000 4.419463 
0.000700 40.000000 4.104963 
0.000800 40.000000 3.846039 
0.000900 40.000000 3.627673 
0.001000 40.000000 3.440034 
0.002000 40.000000 2.372062 
0.003000 40.000000 1.867143 
0.004000 40.000000 1.555950 
0.005000 40.000000 1.339241 
0.006000 40.000000 1.177161 
0.007000 40.000000 1.050091 
0.008000 40.000000 0.947073 
0.009000 40.000000 0.861434 
0.010000 40.000000 0.788839 
0.020000 40.000000 0.397742 
0.030000 40.000000 0.231028 
0.040000 40.000000 0.137191 
0.050000 40.000000 0.077370 
0.060000 40.000000 0.036490 
0.070000 40.000000 0.007332 
0.080000 40.000000 -0.014037 
0.090000 40.000000 -0.029964 
0.100000 40.000000 -0.041944 
0.200000 40.000000 -0.071438 
0.300000 40.000000 -0.055977 
0.400000 40.000000 -0.036622 
0.500000 40.000000 -0.020648 
0.600000 40.000000 -0.009343 
0.700000 40.000000 -0.002477 
0.800000 40.000000 0.000590 
0.900000 40.000000 0.000567 
0.999900 40.000000 -0.001873 
0.000010 50.000000 23.104380 
0.000020 50.000000 18.033824 
0.000030 50.000000 15.532911 
0.000040 50.000000 13.940855 
0.000050 50.000000 12.801497 
0.000060 50.000000 11.928580 
0.000070 50.000000 11.229132 
0.000080 50.000000 10.650579 
0.000090 50.000000 10.160528 
0.000100 50.000000 9.737727 
0.000200 50.000000 7.292546 
0.000300 50.000000 6.103916 
0.000400 50.000000 5.355306 
0.000500 50.000000 4.824249 
0.000600 50.000000 4.420453 
0.000700 50.000000 4.099071 
0.000800 50.000000 3.834852 
0.000900 50.000000 3.612300 
0.001000 50.000000 3.421284 
0.002000 50.000000 2.338664 
0.003000 50.000000 1.830216 
0.004000 50.000000 1.518286 
0.005000 50.000000 1.301850 
0.006000 50.000000 1.140466 
0.007000 50.000000 1.014279 
0.008000 50.000000 0.912220 
0.009000 50.000000 0.827562 
0.010000 50.000000 0.755943 
0.020000 50.000000 0.373014 
0.030000 50.000000 0.211937 
0.040000 50.000000 0.122210 
0.050000 50.000000 0.065536 
0.060000 50.000000 0.027145 
0.070000 50.000000 0.000005 
0.080000 50.000000 -0.019701 
0.090000 50.000000 -0.034240 
0.100000 50.000000 -0.045049 
0.200000 50.000000 -0.069083 
0.300000 50.000000 -0.052700 
0.400000 50.000000 -0.033790 
0.500000 50.000000 -0.018672 
0.600000 50.000000 -0.008240 
0.700000 50.000000 -0.002069 
0.800000 50.000000 0.000582 
0.900000 50.000000 0.000478 
0.999900 50.000000 -0.001674 
0.000010 60.000000 23.682975 
0.000020 60.000000 18.424404 
0.000030 60.000000 15.836229 
0.000040 60.000000 14.190996 
0.000050 60.000000 13.014902 
0.000060 60.000000 12.114677 
0.000070 60.000000 11.393922 
0.000080 60.000000 10.798163 
0.000090 60.000000 10.293857 
0.000100 60.000000 9.859005 
0.000200 60.000000 7.349388 
0.000300 60.000000 6.133419 
0.000400 60.000000 5.369308 
0.000500 60.000000 4.828208 
0.000600 60.000000 4.417376 
0.000700 60.000000 4.090806 
0.000800 60.000000 3.822622 
0.000900 60.000000 3.596956 
0.001000 60.000000 3.403444 
0.002000 60.000000 2.310346 
0.003000 60.000000 1.799703 
0.004000 60.000000 1.487580 
